Genre,Age,AnnualIncome,SpendingScore
Male,19,109,36
Male,26,109,14
Male,55,69,5
Male,31,44,65
Male,53,40,92
Female,32,72,76
Male,66,118,21
Female,39,50,20
Female,24,26,49
Female,40,92,34
Female,52,30,49
Female,58,94,47
Male,63,23,6
Male,67,52,11
Male,42,50,59
Female,28,62,46
Female,62,134,88
Male,56,96,22
Male,28,74,49
Male,61,56,99
Male,32,120,5
Female,35,23,28
Female,31,98,64
Female,27,48,18
Female,65,89,55
Female,41,43,18
Female,23,111,7
Male,58,35,88
Male,42,63,77
Female,53,125,2
Male,61,128,69
Female,67,97,44
Female,45,35,59
Female,50,112,23
Male,58,53,82
Male,27,62,98
Male,56,56,63
Male,41,127,40
Male,33,127,73
Male,64,77,9
Male,26,99,61
Male,34,82,78
Male,52,111,94
Male,63,54,52
Female,46,130,67
Male,33,43,9
Male,55,85,30
Male,18,24,91
Male,32,23,5
Male,50,45,36
Female,31,84,17
Female,33,115,61
Male,24,27,85
Female,45,67,60
Male,61,98,83
Male,43,108,44
Male,30,39,69
Male,45,38,36
Male,22,71,71
Male,59,84,2
Male,28,67,63
Male,43,130,8
Female,18,64,34
Female,45,104,94
Female,27,39,38
Male,55,109,70
Female,21,21,75
Male,21,137,66
Male,22,91,9
Male,43,30,73
Male,57,25,54
Female,34,41,86
Female,33,48,51
Female,47,55,97
Male,47,94,73
Male,52,42,65
Male,40,127,9
Female,36,35,57
Female,57,118,84
Male,60,119,71
Male,26,48,15
Male,35,51,78
Female,31,102,82
Female,34,130,7
Female,35,20,1
Male,58,48,21
Female,53,105,55
Male,25,24,89
Male,41,89,71
Female,26,20,40
Male,40,41,88
Male,40,114,72
Male,33,125,21
Female,19,37,95
Female,69,100,95
Female,28,115,90
Female,20,124,61
Male,70,132,59
Female,70,116,30
Male,60,39,52
Female,22,113,36
Female,61,122,69
Male,25,127,34
Female,20,28,77
Female,64,115,41
Male,42,130,74
Female,20,105,56
Male,41,70,9
Female,57,55,85
Female,50,54,86
Female,43,104,38
Male,30,68,86
Male,57,87,39
Male,37,51,27
Female,47,71,57
Male,50,75,95
Male,36,80,85
Female,23,119,97
Female,32,118,26
Male,20,46,61
Male,47,68,81
Male,63,104,50
Female,33,33,84
Male,66,125,99
Female,32,37,90
Female,21,86,32
Female,26,117,60
Female,66,129,57
Female,53,72,21
Female,46,48,97
Female,67,114,67
Male,35,71,10
Female,33,49,43
Male,26,34,30
Male,63,42,9
Female,39,84,60
Male,31,121,54
Male,66,88,49
Male,40,53,97
Female,52,110,95
Male,49,43,35
Female,19,64,44
Female,64,36,60
Male,43,90,73
Male,23,97,55
Female,29,21,34
Female,31,73,42
Female,35,111,54
Male,48,17,96
Male,40,43,84
Male,66,18,32
Male,57,34,31
Female,60,29,73
Female,62,47,99
Male,56,92,96
Male,67,119,21
Male,55,18,40
Female,43,135,92
Male,55,103,81
Male,62,113,39
Male,68,87,6
Female,60,62,9
Female,18,123,54
Male,45,137,47
Female,63,34,56
Female,57,118,69
Female,47,70,94
Female,38,124,32
Female,46,46,97
Female,39,18,64
Male,49,42,46
Female,35,127,77
Female,53,16,67
Male,33,107,53
Male,62,75,83
Female,46,116,3
Female,32,66,89
Female,60,89,48
Female,45,110,71
Female,62,73,35
Female,32,30,93
Female,25,110,69
Male,30,42,95
Female,64,90,98
Female,24,121,25
Male,41,37,39
Male,35,20,7
Female,62,135,17
Female,24,126,2
Female,48,76,57
Male,21,47,62
Male,43,77,10
Male,27,34,73
Male,33,30,72
Female,56,91,80
Female,46,131,57
Female,37,87,80
Male,66,41,81
Female,60,25,21
Male,53,24,21
